Date,Price in Contemporary Dollars,Price in 2021 Dollars
2021-12-31,70.9118972332016,70.9118972332016
2020-12-31,41.8383464566929,43.80387535907208
2019-12-31,64.2105731225296,65.00272881405557
2018-12-31,71.3100597609562,73.49786296994043
2017-12-31,54.1924404761905,57.21931997423033
2016-12-31,43.7341699604743,47.16064223810269
2015-12-31,52.3867588932806,57.20378477463154
2014-12-31,98.9460079051383,108.17245899202803
2013-12-31,108.658517786561,120.71764165428658
2012-12-31,111.669702380952,125.88023791090608
2011-12-31,111.255597609562,128.00880448889853
2010-12-31,79.495533596838,94.3533704448914
2009-12-31,61.6712648221344,74.39836354512938
2008-12-31,97.255972762646,116.9092653919043
2007-12-31,72.3890784313725,90.35839230788719
2006-12-31,65.1440625,83.63095218098958
2005-12-31,54.5210894941634,72.25119146479223
2004-12-31,38.265,52.426696214928526
2003-12-31,28.830703125,40.552734274371595
2002-12-31,25.0232558139535,35.999410008144075
2001-12-31,24.4438910505837,35.721896593408346
2000-12-31,28.49544921875,42.82773349450584
1999-12-31,17.9700778210117,27.916289381355696
1998-12-31,12.7156614785992,20.18989609164256
1997-12-31,19.0925875486381,30.78736246760483
1996-12-31,20.668488372093,34.09325776972442
1995-12-31,17.0166796875,28.898319465889514
1994-12-31,15.817626459144,27.62331795895761
1993-12-31,16.9716342412451,30.397547609763908
1992-12-31,19.3208365758755,35.6410907700564
1991-12-31,20.0009143968872,38.006289691430055
1990-12-31,23.7258203125,46.981662439926836
1989-12-31,18.22611328125,38.041279068012855
1988-12-31,14.9238416988417,32.64965675332983
1987-12-31,18.4350393700787,41.99992054937886
1986-12-31,14.43,34.07520739051095
1985-12-31,27.56,66.29025241635686
1984-12-31,28.78,71.68989971126082
1983-12-31,29.55,76.7857936746988
1982-12-31,32.97,88.42485668393782
1981-12-31,35.93,102.300101540154
1980-12-31,36.83,115.67972245145629
1979-12-31,31.61,112.6861668044077
1978-12-31,14.02,55.65230398773005
1977-12-31,13.92,59.407683988799995
1976-12-31,12.8,58.205558656
1975-12-31,11.53,55.47424852969999
1974-12-31,11.58,60.809766700199994
1973-12-31,3.29,19.166999156899998
1972-12-31,2.48,15.3466641048
1971-12-31,2.24,14.2963055424
1970-12-31,1.8,11.991231251999997
1969-12-31,1.8,12.699338147999999
1968-12-31,1.8,13.384152054000001
1967-12-31,1.8,13.943183813999998
1966-12-31,1.8,14.34848184
1965-12-31,1.8,14.749121267999998
1964-12-31,1.8,15.000685559999999
1963-12-31,1.8,15.21032247
1962-12-31,1.8,15.392007791999998
1961-12-31,1.8,15.559717319999995
1960-12-31,1.9,16.586420557
1959-12-31,2.08,18.4484621776
1958-12-31,2.08,18.6099602416
1957-12-31,1.9,17.451884541
1956-12-31,1.93,18.371802359399997
1955-12-31,1.93,18.641535183599995
1954-12-31,1.93,18.5666093991
1953-12-31,1.93,18.6565203405
1952-12-31,1.71,16.6626403965
1951-12-31,1.71,17.0211195126
1950-12-31,1.71,18.370948283099995
1949-12-31,1.78,19.316462509399997
1948-12-31,1.99,21.379056773899993
1947-12-31,1.9,22.000487866
1946-12-31,1.12,14.826764567999998
1945-12-31,1.05,15.087646055999999
1944-12-31,1.21,17.787562407999996
1943-12-31,1.2,17.948025228
1942-12-31,1.19,18.885645718799992
1941-12-31,1.14,20.027623375199997
1940-12-31,1.02,18.811729297200003
1939-12-31,1.02,18.993880478999998
1938-12-31,1.13,20.7439345799
1937-12-31,1.18,21.2586837778
1936-12-31,1.09,20.3481607987
1935-12-31,0.97,18.278708042699996
1934-12-31,1.0,19.317653039999996
1933-12-31,0.67,13.372867894399997
1932-12-31,0.87,16.475364756899996
1931-12-31,0.65,11.0407478545
1930-12-31,1.19,18.4359874874
1929-12-31,1.27,19.172485950099997
1928-12-31,1.17,17.6628413871
1927-12-31,1.3,19.362944964999997
1926-12-31,1.88,27.4763074796
1925-12-31,1.68,24.788089384799996
1924-12-31,1.43,21.632329218499997
1923-12-31,1.34,20.3124707618
1922-12-31,1.61,24.842802030199994
1921-12-31,1.73,25.006448225499998
1920-12-31,3.07,39.64008802529999
1919-12-31,2.01,30.062942256899994
1918-12-31,1.98,34.00077750299999
1917-12-31,1.56,31.4638603188
1916-12-31,1.1,26.055020992
1915-12-31,0.64,16.3038507072
1914-12-31,0.81,20.842101592200002
1913-12-31,0.95,24.776365246499996
1912-12-31,0.74,19.765334133850338
1911-12-31,0.61,16.874940194392497
1910-12-31,0.61,16.874940194392494
1909-12-31,0.7,20.081896041899988
