YEAR,WTI,Brent,Index,Constant (2021),Share GDP,Per Capita,USD$
1949,,0.423818,0.23809999999999998,149414.14722959188,0.05272020054522639,,3354389846.1452227
1950,,0.41142599999999996,0.24059999999999998,160576.73380266616,0.05081963440097969,,3591435505.7313185
1951,,0.44408699999999995,0.2597,343573.34180544765,0.1016702117011775,,8957473537.306473
1952,,0.454347,0.2657,483977.88581206463,0.13860080995553656,,13194840074.018166
1953,,0.5166609999999999,0.2677,498295.4412307341,0.13580272460420412,,13791037609.992514
1954,,0.518398,0.2686,429937.65808012814,0.11736595527128474,,11990341896.084545
1955,,0.51724,0.268,406974.3040064142,0.10156244863598451,,11288290384.829727
1956,,0.5247670000000001,0.27190000000000003,412299.1423004281,0.09901011622248919,,11776526095.361435
1957,,0.53409,0.2811,424063.677515769,0.09992439485157588,,12951019204.125107
1958,,0.600704,0.2888,421547.9565485256,0.10071763987009115,,13588110890.382418
1959,,0.60632,0.2915,424500.5386534054,0.09438772963973731,,13939291998.62535
1960,,0.56202,0.2958,414052.6871558973,0.08993124587152782,,14005110279.84889
1961,,0.5382,0.299,431566.2526015978,0.09156031500171231,,14914051410.912289
1962,,0.5445,0.3025,467627.65863777616,0.09331672945458425,,16531910138.035872
1963,,0.55134,0.3063,461259.4957734623,0.08831891186180177,,16712100392.012552
1964,,0.55872,0.3104,445881.0995700828,0.08051281105728403,,16585394318.854895
1965,,0.56754,0.3153,447833.93487015326,0.07587247177226024,,17203332785.295364
1966,,0.58446,0.3247,529513.569539603,0.08435300285945073,,21573961420.920105
1967,,0.60084,0.33380000000000004,607918.5641860517,0.0941779593255137,,26169400019.886875
1968,,0.62622,0.3479,627442.3280404578,0.09268454274687926,,29338069960.82851
1969,,0.66024,0.3668,599880.0853744806,0.08633263795091037,,31174392680.007797
1970,,0.6991200000000001,0.3884,555938.2020505505,0.08032743584040851,,32395664483.098568
1971,,0.9067520000000001,0.4048,500192.2992204396,0.0694306960936061,,31670734260.718796
1972,,1.036888,0.4181,499472.903557732,0.06519756924347163,,33744044471.090946
1973,,1.461418,0.44420000000000004,474661.7483714701,0.05893870591167396,,36188882675.8509
1974,,5.7112560000000006,0.4932,468463.6758712039,0.05954111196760147,,44032363511.599236
1975,,6.205445999999999,0.5382,442736.52912638866,0.05622679096133358,,49557955855.212906
1976,,7.287040000000001,0.5693,430693.05945914943,0.05191071429025546,,53921392439.68136
1977,,8.438303999999999,0.6062,446947.2829265085,0.05155617351271249,,63448055740.60081
1978,,9.146647999999999,0.6524,449774.6401000323,0.04943087247916881,,73970458389.90857
1979,,22.942538,0.7258,452356.0292985869,0.04951991535272649,,92089451101.34137
1980,,30.340553999999997,0.8238,451312.13442011684,0.05153537466516365,,118370466744.1105
1981,,32.67114900000001,0.9093000000000001,502699.70387013844,0.05646541256242576,,160544985283.75754
1982,,31.825941,0.9653,594524.5632019779,0.06814057094412844,,213981470656.3543
1983,,29.425890000000003,0.9958,580576.5704799378,0.06321144259767165,,222488770912.7062
1984,,29.911054000000004,1.0393000000000001,610657.8558095497,0.06236416529638966,,254783530602.27655
1985,,29.654559999999993,1.0759999999999998,654636.4275769206,0.06453219204668603,,292847634740.8497
1986,16.50581033067729,15.828267,1.0969,697907.2779574346,0.06626522657898423,,324184652890.16736
1987,21.81562151968504,20.94589173228342,1.1362,692180.9782331961,0.06420274022884877,,345503250233.5199
1988,18.883885245136188,17.651919961389964,1.1828,677701.1935612549,0.06071277702094799,1251.8040412858113,366267349329.1681
